"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"04/03/2022","AQS","132611001","2","0.049","ppm","45","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/04/2022","AQS","132611001","2","0.057","ppm","58","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/05/2022","AQS","132611001","2","0.033","ppm","31","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/06/2022","AQS","132611001","2","0.029","ppm","27","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/07/2022","AQS","132611001","2","0.047","ppm","44","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/08/2022","AQS","132611001","2","0.045","ppm","42","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/09/2022","AQS","132611001","2","0.042","ppm","39","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/10/2022","AQS","132611001","2","0.048","ppm","44","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/11/2022","AQS","132611001","2","0.053","ppm","49","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/12/2022","AQS","132611001","2","0.057","ppm","58","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/13/2022","AQS","132611001","2","0.041","ppm","38","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/14/2022","AQS","132611001","2","0.037","ppm","34","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/15/2022","AQS","132611001","2","0.05","ppm","46","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/16/2022","AQS","132611001","2","0.026","ppm","24","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/17/2022","AQS","132611001","2","0.027","ppm","25","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/18/2022","AQS","132611001","2","0.036","ppm","33","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/19/2022","AQS","132611001","2","0.047","ppm","44","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/20/2022","AQS","132611001","2","0.051","ppm","47","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/21/2022","AQS","132611001","2","0.046","ppm","43","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/22/2022","AQS","132611001","2","0.047","ppm","44","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/23/2022","AQS","132611001","2","0.044","ppm","41","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/24/2022","AQS","132611001","2","0.042","ppm","39","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/25/2022","AQS","132611001","2","0.042","ppm","39","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/26/2022","AQS","132611001","2","0.035","ppm","32","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/27/2022","AQS","132611001","2","0.048","ppm","44","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/28/2022","AQS","132611001","2","0.059","ppm","64","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/29/2022","AQS","132611001","2","0.059","ppm","64","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"04/30/2022","AQS","132611001","2","0.046","ppm","43","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"05/01/2022","AQS","132611001","2","0.034","ppm","31","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"05/02/2022","AQS","132611001","2","0.032","ppm","30","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"05/03/2022","AQS","132611001","2","0.045","ppm","42","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"05/04/2022","AQS","132611001","2","0.032","ppm","30","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"05/05/2022","AQS","132611001","2","0.037","ppm","34","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"05/06/2022","AQS","132611001","2","0.03","ppm","28","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"05/07/2022","AQS","132611001","2","0.047","ppm","44","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"05/08/2022","AQS","132611001","2","0.039","ppm","36","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"05/09/2022","AQS","132611001","2","0.037","ppm","34","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"05/10/2022","AQS","132611001","2","0.057","ppm","58","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"05/11/2022","AQS","132611001","2","0.056","ppm","54","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"05/12/2022","AQS","132611001","2","0.045","ppm","42","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"05/13/2022","AQS","132611001","2","0.03","ppm","28","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"05/14/2022","AQS","132611001","2","0.04","ppm","37","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"05/15/2022","AQS","132611001","2","0.043","ppm","40","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"05/16/2022","AQS","132611001","2","0.049","ppm","45","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"05/17/2022","AQS","132611001","2","0.056","ppm","54","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"05/18/2022","AQS","132611001","2","0.053","ppm","49","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"05/19/2022","AQS","132611001","2","0.047","ppm","44","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"05/20/2022","AQS","132611001","2","0.04","ppm","37","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"05/21/2022","AQS","132611001","2","0.03","ppm","28","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"05/22/2022","AQS","132611001","2","0.025","ppm","23","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"05/23/2022","AQS","132611001","2","0.023","ppm","21","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"05/24/2022","AQS","132611001","2","0.029","ppm","27","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"05/25/2022","AQS","132611001","2","0.031","ppm","29","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"05/26/2022","AQS","132611001","2","0.025","ppm","23","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"05/27/2022","AQS","132611001","2","0.051","ppm","47","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"05/28/2022","AQS","132611001","2","0.042","ppm","39","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"05/29/2022","AQS","132611001","2","0.05","ppm","46","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"05/30/2022","AQS","132611001","2","0.044","ppm","41","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"05/31/2022","AQS","132611001","2","0.035","ppm","32","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"06/01/2022","AQS","132611001","2","0.042","ppm","39","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"06/02/2022","AQS","132611001","2","0.046","ppm","43","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"06/03/2022","AQS","132611001","2","0.035","ppm","32","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"06/04/2022","AQS","132611001","2","0.043","ppm","40","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"06/05/2022","AQS","132611001","2","0.042","ppm","39","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"06/06/2022","AQS","132611001","2","0.038","ppm","35","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"06/07/2022","AQS","132611001","2","0.037","ppm","34","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"06/08/2022","AQS","132611001","2","0.029","ppm","27","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"06/09/2022","AQS","132611001","2","0.037","ppm","34","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"06/10/2022","AQS","132611001","2","0.049","ppm","45","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"06/11/2022","AQS","132611001","2","0.043","ppm","40","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"06/14/2022","AQS","132611001","2","0.027","ppm","25","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"06/15/2022","AQS","132611001","2","0.045","ppm","42","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"06/22/2022","AQS","132611001","2","0.054","ppm","50","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"06/23/2022","AQS","132611001","2","0.054","ppm","50","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"06/24/2022","AQS","132611001","2","0.06","ppm","67","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"06/25/2022","AQS","132611001","2","0.05","ppm","46","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"06/26/2022","AQS","132611001","2","0.049","ppm","45","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"06/27/2022","AQS","132611001","2","0.048","ppm","44","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"06/28/2022","AQS","132611001","2","0.043","ppm","40","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"06/29/2022","AQS","132611001","2","0.034","ppm","31","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"06/30/2022","AQS","132611001","2","0.035","ppm","32","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"07/01/2022","AQS","132611001","2","0.035","ppm","32","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"07/02/2022","AQS","132611001","2","0.033","ppm","31","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"07/03/2022","AQS","132611001","2","0.028","ppm","26","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"07/04/2022","AQS","132611001","2","0.035","ppm","32","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"07/05/2022","AQS","132611001","2","0.035","ppm","32","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"07/06/2022","AQS","132611001","2","0.029","ppm","27","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"07/07/2022","AQS","132611001","2","0.032","ppm","30","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"07/08/2022","AQS","132611001","2","0.025","ppm","23","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"07/09/2022","AQS","132611001","2","0.029","ppm","27","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"07/10/2022","AQS","132611001","2","0.039","ppm","36","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"07/11/2022","AQS","132611001","2","0.028","ppm","26","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"07/12/2022","AQS","132611001","2","0.033","ppm","31","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"07/13/2022","AQS","132611001","2","0.027","ppm","25","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"07/14/2022","AQS","132611001","2","0.031","ppm","29","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"07/15/2022","AQS","132611001","2","0.03","ppm","28","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"07/16/2022","AQS","132611001","2","0.034","ppm","31","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"07/17/2022","AQS","132611001","2","0.028","ppm","26","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"07/18/2022","AQS","132611001","2","0.031","ppm","29","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"07/19/2022","AQS","132611001","2","0.03","ppm","28","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"07/20/2022","AQS","132611001","2","0.027","ppm","25","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"07/21/2022","AQS","132611001","2","0.024","ppm","22","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"07/22/2022","AQS","132611001","2","0.021","ppm","19","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"07/23/2022","AQS","132611001","2","0.019","ppm","18","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
"07/24/2022","AQS","132611001","2","0.026","ppm","24","Leslie","17","100.0000","44201","Ozone","047","11140","Americus, GA","13","Georgia","261","Sumter","31.954286175003","-84.0810096466376"
